problem,algorithm,hv_best,igd_best
zdt1,OADE_NSGA2,0.8712165004470782,0.004199481164139026
zdt1,pymoo_dnsga2,0.8688531779528663,0.004727044733832377
zdt1,pymoo_nsga2,0.8691282927743854,0.0043346829927518715
zdt1,pymoo_rnsga2,0.7694400714332238,0.07387006753869904
zdt2,OADE_NSGA2,0.5380481959215754,0.0041819289899067205
zdt2,pymoo_dnsga2,0.5355922987492399,0.004673354107529681
zdt2,pymoo_nsga2,0.534906337264431,0.004887213239340421
zdt2,pymoo_rnsga2,0.4435888516468246,0.08177538971479956
zdt3,OADE_NSGA2,1.096075135237129,0.004283101932306677
zdt3,pymoo_dnsga2,1.0940009344183987,0.004316564477583903
zdt3,pymoo_nsga2,1.0942654315875737,0.004532586476829212
zdt3,pymoo_rnsga2,1.0266522608944422,0.06050041475500587
zdt4,OADE_NSGA2,0.8690537789964221,0.004745628986243114
zdt4,pymoo_dnsga2,0.8673534966298372,0.005525109528618458
zdt4,pymoo_nsga2,0.8678572210530748,0.00521749613490986
zdt4,pymoo_rnsga2,0.7833208798577469,0.07124111709546052
zdt6,OADE_NSGA2,0.40420838232713474,0.0034640219587656496
zdt6,pymoo_dnsga2,0.38734788723264457,0.01375931004671534
zdt6,pymoo_nsga2,0.3865724021336336,0.014466399395642262
zdt6,pymoo_rnsga2,0.35933011932067355,0.037208940435769396
