problem,algorithm,runs,hv_mean,hv_std,igd_mean,igd_std
zdt1,OADE_NSGA2,30,0.8672572769703828,0.007672078703861587,0.007230550004352743,0.0058855639446676895
zdt1,pymoo_dnsga2,30,0.8682744354019235,0.0003087310722222097,0.0050711223122046935,0.00021334131964088638
zdt1,pymoo_nsga2,30,0.8682059410341056,0.00045126683414838353,0.005134362263874637,0.0003537653297925625
zdt1,pymoo_rnsga2,30,0.6974971941864366,0.028558310576140826,0.12217697871968722,0.016416958780794362
zdt2,OADE_NSGA2,30,0.536894371780194,0.0015460385002583586,0.0052173350304394964,0.0010835783376449862
zdt2,pymoo_dnsga2,30,0.5341987806434864,0.0006406922375478136,0.005332560741096024,0.00035400716194116473
zdt2,pymoo_nsga2,30,0.5340581005479093,0.0006814638500926768,0.005448930435591207,0.00027774378475372695
zdt2,pymoo_rnsga2,30,0.4163813755822831,0.01570760721731177,0.10966546606249315,0.014327302797485056
zdt3,OADE_NSGA2,30,1.0952601783558307,0.0015767272035630902,0.006527160090752647,0.002934267124896081
zdt3,pymoo_dnsga2,30,1.0932243550431069,0.00044028831386903525,0.005336861420698054,0.0003190933247959995
zdt3,pymoo_nsga2,30,1.0909202361507095,0.007985439320045817,0.009127444125417586,0.013916387218679006
zdt3,pymoo_rnsga2,30,0.8465638830170511,0.12192032499404955,0.13925080171688795,0.05339066395224898
zdt4,OADE_NSGA2,30,0.43525375738088357,0.2974101050041427,0.3783226211879639,0.32965013181131675
zdt4,pymoo_dnsga2,30,0.8605179012264865,0.006498596175322218,0.009214336776514372,0.0039025131085024343
zdt4,pymoo_nsga2,30,0.8482004684816568,0.03710098965095237,0.02090961517747827,0.03270282070737224
zdt4,pymoo_rnsga2,30,0.7080757101537674,0.03335371011669302,0.11399794247250547,0.017789273811457902
zdt6,OADE_NSGA2,30,0.4012996760951306,0.004960283308305215,0.005671244494270152,0.0042678055162412385
zdt6,pymoo_dnsga2,30,0.38343925421817926,0.003005146467569214,0.01665164540457602,0.0021917975806671594
zdt6,pymoo_nsga2,30,0.38249259743908387,0.002417969814370135,0.017354784950286282,0.001751571930372744
zdt6,pymoo_rnsga2,30,0.32467621338946845,0.02078722164852752,0.06898923775384747,0.018355503048619982
