algorithm,IGD_best,HV_best
OADE_NSGAII,0.0050023021680534584,0.8704515794820494
NSGA2,0.005322472246232331,0.8687473895012735
RNSGA2,0.08044964809766304,0.764816412693065
DNSGA2,0.004699767557580112,0.8690613586607555
