algorithm,IGD_mean,IGD_std,HV_mean,HV_std
OADE_NSGAII,0.0050023021680534584,nan,0.8704515794820494,nan
NSGA2,0.005322472246232331,nan,0.8687473895012735,nan
RNSGA2,0.08044964809766304,nan,0.764816412693065,nan
DNSGA2,0.004699767557580112,nan,0.8690613586607555,nan
