study,parameter,parameter_label,problem,n_var,run_idx,seed,pop_size,n_gen,stagnation_patience,initial_mean_F,initial_mean_CR,final_mean_F,final_mean_CR,mean_F_gen30,mean_CR_gen30,mean_F_gen50,mean_CR_gen50,IGD,HV,runtime_seconds,restart_count
pop_size,pop_size,50,zdt1,30,17,59,50,200,20,0.65,0.5,0.6161736992413607,0.506745120954073,0.7961287716102166,0.5049343721459493,0.8040977767236344,0.50893400728494,0.0086557935818443,0.8652533217536623,0.6609091000000262,6
pop_size,pop_size,50,zdt1,30,18,60,50,200,20,0.65,0.5,0.5108616049926564,0.4968336481337819,0.7306678067348902,0.49219096823141495,0.7843761127289368,0.4765744990545107,0.014178444399195893,0.8595051328437637,0.8187945999998192,8
pop_size,pop_size,50,zdt1,30,19,61,50,200,20,0.65,0.5,0.545918630913471,0.5014113385456564,0.7755905410380592,0.565086444182438,0.8183414724167927,0.5806511690246726,0.00910119188318275,0.8649482562867813,0.7526631000000634,7
pop_size,pop_size,50,zdt1,30,20,62,50,200,20,0.65,0.5,0.5060712775972711,0.5048073975687446,0.735334774235775,0.5138259209147041,0.7941510110917198,0.5510826309503821,0.013230638141184978,0.8602248564170847,0.6646763999997347,7
pop_size,pop_size,50,zdt1,30,21,63,50,200,20,0.65,0.5,0.5854457619234379,0.5118681478882089,0.7448978319137181,0.5381957822380158,0.8065734436397021,0.5378698818566443,0.008935636232190854,0.8653190910996233,0.6165492000000086,7
pop_size,pop_size,50,zdt1,30,22,64,50,200,20,0.65,0.5,0.585626701537467,0.5183572352241022,0.7194658339306733,0.4688562385143441,0.7436062081276221,0.4932756018157645,0.008648275611007238,0.8651341373086578,0.6621683999997003,7
pop_size,pop_size,50,zdt1,30,23,65,50,200,20,0.65,0.5,0.6010670961677171,0.5308767595342685,0.6238583822102977,0.5514709972465834,0.7210798855042898,0.5712397554202285,0.008697473968680798,0.8651235106734142,0.6319420999998329,6
pop_size,pop_size,50,zdt1,30,24,66,50,200,20,0.65,0.5,0.5449005567516938,0.5015290656234621,0.7366026508485568,0.4833107049667089,0.7848950953041083,0.517711198642391,0.011768538486035502,0.8613450193181815,0.6309475999996721,7
pop_size,pop_size,50,zdt1,30,25,67,50,200,20,0.65,0.5,0.5548055654088617,0.5208479924825968,0.7629841376461786,0.4957075367548488,0.8177271329871906,0.5053534798062929,0.009193749889297291,0.8649010669944769,0.624886399999923,7
pop_size,pop_size,50,zdt1,30,26,68,50,200,20,0.65,0.5,0.5712993285248984,0.5121147420390358,0.7191872090355028,0.5329951960342997,0.7691162995461529,0.5506299843319988,0.009347471530927067,0.8643100550835339,0.6231560999999601,7
pop_size,pop_size,50,zdt1,30,27,69,50,200,20,0.65,0.5,0.5039892573772579,0.5036638542946458,0.7609932352394954,0.563062900781981,0.8146020077541963,0.5850250540829256,0.024376610507785487,0.839107672796889,0.6253077999999732,7
pop_size,pop_size,50,zdt1,30,28,70,50,200,20,0.65,0.5,0.5330878109619402,0.5035827902117831,0.7785754947492726,0.4839096475027901,0.8337465830973232,0.47913555699966776,0.016571927750422835,0.8549212176345455,0.6159476000002542,7
pop_size,pop_size,50,zdt1,30,29,71,50,200,20,0.65,0.5,0.629972139206179,0.5166694194782561,0.7240896083361774,0.5261403638192614,0.7715257089307135,0.5359899937138518,0.009572030209998335,0.8645083953343836,0.6234496000001855,6
pop_size,pop_size,50,zdt2,30,0,42,50,200,20,0.65,0.5,0.6322319625548802,0.5254711303588625,0.7679297055662736,0.4618680678662005,0.7944128725963153,0.49629232173220944,0.00917057300479609,0.5321149526614005,0.63561559999971,5
pop_size,pop_size,50,zdt2,30,1,43,50,200,20,0.65,0.5,0.5346317087083935,0.5031691138628539,0.5770257751957789,0.512059343614574,0.5983062971188686,0.5007204410047775,0.03273813806989436,0.5064850366658595,0.6695885999997699,5
pop_size,pop_size,50,zdt2,30,2,44,50,200,20,0.65,0.5,0.5944586836562035,0.5135207209590427,0.7415471386224484,0.47174501848826333,0.8022014827731542,0.46721109747509193,0.008750968620100856,0.5310693797272577,0.6437565999999606,6
pop_size,pop_size,50,zdt2,30,3,45,50,200,20,0.65,0.5,0.5258290162211863,0.4955956370162718,0.6761283311676092,0.4920828767699007,0.7494674454159227,0.45661881283808653,0.03881980310997464,0.5004070713213828,0.6458228999999847,4
