study,parameter,parameter_label,problem,n_var,runs,IGD_mean,IGD_std,IGD_best,HV_mean,HV_std,HV_best,runtime_mean,restart_count_mean,final_mean_F_mean,final_mean_CR_mean
pop_size,pop_size,50,zdt1,30,30,0.014034133126011416,0.007768118343414923,0.00842848962533825,0.8578672235469978,0.011519335811626353,0.8653190910996233,0.7508757700000085,6.833333333333333,0.5596461733438681,0.5083396024597805
pop_size,pop_size,50,zdt2,30,30,0.013361099038393174,0.007916264165292909,0.008400163031794037,0.5271767369513033,0.008310475647734544,0.5328482005413534,0.6581804033332446,4.766666666666667,0.5729865832894041,0.5148634395605177
pop_size,pop_size,50,zdt3,30,30,0.01632878741371147,0.010130931018455228,0.010003480513310282,1.0433075123714148,0.009395392967703205,1.0483336309387756,0.6675219866666945,5.733333333333333,0.5738094374101366,0.516503859059672
pop_size,pop_size,50,zdt4,10,30,0.13031892804190306,0.17605253759837916,0.008380602288763849,0.6893945735423964,0.22018555283912028,0.8650107072625162,0.7582970066666651,0.23333333333333334,0.7699792908780315,0.41904386642874303
pop_size,pop_size,50,zdt6,10,30,0.01132249609407224,0.007347543878293572,0.0069075922139507015,0.4296836890525544,0.008038868470111338,0.43453423510813705,0.6284283766666704,3.033333333333333,0.6022116125536574,0.5093226999340991
pop_size,pop_size,100,zdt1,30,30,0.007261160497506098,0.0044201689562491315,0.004063427900201707,0.8674641835712291,0.005503611999769872,0.8712198650177716,1.6034772466666558,7.4,0.5774841571887208,0.519317293290502
pop_size,pop_size,100,zdt2,30,30,0.005925596810247178,0.0022223007972320685,0.004405159607311568,0.5359536281731964,0.002752361755967391,0.5380386354816774,1.5750449133333555,5.866666666666666,0.5795918754083647,0.5174368371104613
pop_size,pop_size,100,zdt3,30,30,0.008418884760640934,0.004601898961119075,0.004807902511739935,1.0490987069386604,0.003226190387518036,1.0513889475013258,1.561818059999981,6.7,0.5582314110913148,0.5133447263377209
pop_size,pop_size,100,zdt4,10,30,0.00608870844604999,0.0017195167153519618,0.004107902620355947,0.866450934326419,0.0030877562262734658,0.8700494306603643,1.7616371066666487,0.3,0.756659379393692,0.4295200563312282
pop_size,pop_size,100,zdt6,10,30,0.005688634568602888,0.004016719115276104,0.00341611844400423,0.43615344485629776,0.004349806621976471,0.4387617905051099,1.5792762166666914,3.6666666666666665,0.5983144251073147,0.5082529532586075
pop_size,pop_size,200,zdt1,30,30,0.003346264015644073,0.0015221522267836979,0.0019935310104568604,0.8725131248282232,0.0019054174447735526,0.8739352751619961,3.3839173099999544,7.666666666666667,0.5774040279093167,0.5174773013274275
pop_size,pop_size,200,zdt2,30,30,0.004304677976424583,0.002790220027347603,0.002149966543003173,0.5378600523310765,0.00337624793376999,0.5406391800592977,3.434176740000051,6.933333333333334,0.5694689861931899,0.514602447675672
pop_size,pop_size,200,zdt3,30,30,0.0033224440403573367,0.0019576731987258757,0.002178477467202515,1.0522588721865573,0.0013993451044558302,1.0528752712478808,3.40222812666669,7.033333333333333,0.5837611404340727,0.5170102358376076
pop_size,pop_size,200,zdt4,10,30,0.002484717515279219,0.0003474171552320065,0.002023327554668474,0.8727016042235853,0.0004549527800387672,0.8733329483500168,4.177490896666693,0.3333333333333333,0.738631061730875,0.4231483439049215
pop_size,pop_size,200,zdt6,10,30,0.0035134200201698885,0.0019167880810520863,0.0018013154121018194,0.4388188788484644,0.0021398362440790885,0.4407955854491143,3.475656870000027,4.033333333333333,0.5663902627899673,0.505114389306379
stagnation_patience,stagnation_patience,5,zdt1,30,30,0.01029657880066485,0.004444230858193052,0.005202738918472311,0.8624001894857414,0.007089380457919313,0.8699227387258389,1.609419723333349,31.933333333333334,0.5265575669897894,0.5039529169457906
stagnation_patience,stagnation_patience,5,zdt2,30,30,0.01157530657100304,0.003725201493980862,0.004812981245148569,0.5288405968087729,0.004316840927131488,0.5369421646765223,1.7290686299999984,25.866666666666667,0.5304232711923136,0.5049246570627931
stagnation_patience,stagnation_patience,5,zdt3,30,30,0.012730037530810786,0.004926693646264284,0.006505501460239951,1.0455677439312006,0.003996761445582654,1.050611791819266,1.6883061633333303,30.1,0.5267966101638204,0.5034560794720105
stagnation_patience,stagnation_patience,5,zdt4,10,30,0.011686457721132576,0.004845172516033916,0.004555270115736134,0.8589845360233812,0.007314749719337351,0.86933139554439,1.8294529866666835,12.2,0.5285328908865826,0.5016504688817521
stagnation_patience,stagnation_patience,5,zdt6,10,30,0.009441082857132915,0.004169659037947151,0.0043021630680522395,0.43159910145937525,0.0049460282869006585,0.43766979424636476,1.6976826600000245,23.1,0.5290603674845734,0.5021483884583525
stagnation_patience,stagnation_patience,10,zdt1,30,30,0.008308895867121292,0.004033885831951768,0.0045543430893376065,0.8658702434997065,0.005310799062712997,0.8709128052940106,1.5656018033333567,15.433333333333334,0.541235268226811,0.5052411158940978
stagnation_patience,stagnation_patience,10,zdt2,30,30,0.008920595892892761,0.0054714874767632605,0.0044854481963120954,0.5319901442170909,0.006786918113608116,0.5377772305628971,1.5843366033333648,12.233333333333333,0.5479214933208569,0.5090661558568487
stagnation_patience,stagnation_patience,10,zdt3,30,30,0.010309940361460383,0.0051453359202177935,0.00487537876770432,1.047727228244265,0.003802008926740643,1.0514735488956786,1.6377103366666232,14.3,0.5402064516868716,0.5072954951621516
stagnation_patience,stagnation_patience,10,zdt4,10,30,0.008932419041791777,0.0054445376838452055,0.004655705715554886,0.8627960719433122,0.007949433732718947,0.8694606101675266,1.7438526499999474,1.7666666666666666,0.6320457020034459,0.4767178001025701
stagnation_patience,stagnation_patience,10,zdt6,10,30,0.0062629108048182875,0.003586498687712941,0.003417260124023019,0.4355372734472349,0.0036786418017516584,0.43862285457583206,1.5324276766666722,9.7,0.5552257839002849,0.5035142504315614
