algorithm,IGD_best,HV_best
OADE_NSGAII,0.0039872684529394485,0.8710541862580089
NSGA2,0.004719798197247648,0.8690698874715227
RNSGA2,0.08044964809766304,0.764816412693065
DNSGA2,0.004422845196625399,0.8692833856957521
