algorithm,IGD_mean,IGD_std,HV_mean,HV_std
OADE_NSGAII,0.007406990070535927,0.003760649509757583,0.8670384053501502,0.0049040283651478125
NSGA2,0.0051527885496940075,0.00026800762983564963,0.8681508946270379,0.0004799418670416494
RNSGA2,0.21113344181991972,0.03035700485138019,0.6264355923201443,0.04022961307432349
DNSGA2,0.005104955129486498,0.0004189152762955356,0.8682221150225097,0.0006513422802367389
