problem,n_var,algorithm,IGD_mean,IGD_std,IGD_best,HV_mean,HV_std,HV_best
zdt1,30,OADE_NSGAII,0.007261160497506098,0.0044201689562491315,0.004063427900201707,0.8674641835712291,0.005503611999769872,0.8712198650177716
zdt1,30,NSGAII_SDR_OLS,0.7290294285940623,0.046139053811806816,0.6045736992343956,0.24601239341831474,0.05291751825112392,0.3801703689599721
zdt1,30,CE_MOEA,0.006908169235309603,0.0008738723914646279,0.005626040051911847,0.8644715922076095,0.0017785177447330735,0.8672751215071798
zdt2,30,OADE_NSGAII,0.005925596810247178,0.0022223007972320685,0.004405159607311568,0.5359536281731964,0.002752361755967391,0.5380386354816774
zdt2,30,NSGAII_SDR_OLS,0.610461457738863,2.483695498028744e-12,0.6104614577370583,0.10999999999487806,6.449606873566687e-12,0.10999999999956413
zdt2,30,CE_MOEA,0.007476843959050485,0.000980340730606324,0.005892059505355587,0.5296702234593721,0.0019053471873347418,0.5327025294787674
zdt3,30,OADE_NSGAII,0.008418884760640934,0.004601898961119075,0.004807902511739935,1.0490987069386604,0.003226190387518036,1.0513889475013258
zdt3,30,NSGAII_SDR_OLS,0.8400977576838339,0.09477489121304915,0.5729688455223095,0.3096510701188526,0.09595467161287072,0.5907011452255413
zdt3,30,CE_MOEA,0.008560881744679146,0.001533163365048399,0.006270547658551545,1.0344004806248215,0.005115699212828289,1.0422579162373629
zdt4,10,OADE_NSGAII,0.00608870844604999,0.0017195167153519618,0.004107902620355947,0.866450934326419,0.0030877562262734658,0.8700494306603643
zdt4,10,NSGAII_SDR_OLS,4.26034558701888,3.7138411187787583,0.8391624073644556,0.010558582020695565,0.032244661140580555,0.10949846297182347
zdt4,10,CE_MOEA,0.3572135907893553,0.23433109565144492,0.006234065966529254,0.40972503664544074,0.22786950414358312,0.866065616580043
zdt6,10,OADE_NSGAII,0.005688634568602888,0.004016719115276104,0.00341611844400423,0.43615344485629776,0.004349806621976471,0.4387617905051099
zdt6,10,NSGAII_SDR_OLS,0.12833106569012,0.08061343897194867,0.056295362169766106,0.288427611086304,0.05350369877437922,0.3706958785097412
zdt6,10,CE_MOEA,0.004956833440553568,0.0003359530634784921,0.004393021955383754,0.4377937671206604,0.0003599741460582532,0.4384707410389427
