problem,n_var,run_idx,seed,algorithm,IGD,HV
zdt1,30,0,42,OADE_NSGAII,0.004068013067301888,0.871059207337341
zdt1,30,0,42,NSGAII_SDR_OLS,0.6940677518166267,0.2862706811519399
zdt1,30,0,42,CE_MOEA,0.007353965135781876,0.8636058731734454
zdt1,30,1,43,OADE_NSGAII,0.004211763629950418,0.8710824959985501
zdt1,30,1,43,NSGAII_SDR_OLS,0.7813813805001376,0.18483020011604628
zdt1,30,1,43,CE_MOEA,0.00874733324772066,0.8608789226367684
zdt1,30,2,44,OADE_NSGAII,0.004612730008547259,0.8708985463205176
zdt1,30,2,44,NSGAII_SDR_OLS,0.6832629275265439,0.29955385835582843
zdt1,30,2,44,CE_MOEA,0.005782466473420181,0.867099927759516
zdt1,30,3,45,OADE_NSGAII,0.004387198550749305,0.8707979627955006
zdt1,30,3,45,NSGAII_SDR_OLS,0.7524514693756958,0.2198458743645276
zdt1,30,3,45,CE_MOEA,0.007369926245810886,0.86349271709497
zdt1,30,4,46,OADE_NSGAII,0.00938495058822009,0.86468486445774
zdt1,30,4,46,NSGAII_SDR_OLS,0.7176586101755786,0.2614214549088375
zdt1,30,4,46,CE_MOEA,0.008214104219234028,0.8620429875276953
zdt1,30,5,47,OADE_NSGAII,0.008868500166129417,0.8652622703236051
zdt1,30,5,47,NSGAII_SDR_OLS,0.7032846878705112,0.27484148215327947
zdt1,30,5,47,CE_MOEA,0.007883609831267133,0.8621595438775869
zdt1,30,6,48,OADE_NSGAII,0.004703237993207177,0.8709788563427863
zdt1,30,6,48,NSGAII_SDR_OLS,0.7253470116790262,0.2527760821355722
zdt1,30,6,48,CE_MOEA,0.006473002831546507,0.8648132673168224
zdt1,30,7,49,OADE_NSGAII,0.004481936634629407,0.8707920908206427
zdt1,30,7,49,NSGAII_SDR_OLS,0.795373122216412,0.16710355066683918
zdt1,30,7,49,CE_MOEA,0.007928677194669019,0.8624297841503187
zdt1,30,8,50,OADE_NSGAII,0.004237143530316901,0.8709811838664625
zdt1,30,8,50,NSGAII_SDR_OLS,0.7736082431287222,0.19442056034534694
zdt1,30,8,50,CE_MOEA,0.007093408887649698,0.8638263775804135
zdt1,30,9,51,OADE_NSGAII,0.00430847516124194,0.870838554820064
zdt1,30,9,51,NSGAII_SDR_OLS,0.6582967794168233,0.3237788784261758
zdt1,30,9,51,CE_MOEA,0.00633814505137167,0.8655842964223408
zdt1,30,10,52,OADE_NSGAII,0.004918338746213356,0.8708885378909796
zdt1,30,10,52,NSGAII_SDR_OLS,0.6045736992343956,0.3801703689599721
zdt1,30,10,52,CE_MOEA,0.005920818016495736,0.866784248790603
zdt1,30,11,53,OADE_NSGAII,0.005642240782743416,0.8694185675881856
zdt1,30,11,53,NSGAII_SDR_OLS,0.6771283715009153,0.30745203116806163
zdt1,30,11,53,CE_MOEA,0.006592749107793957,0.8654893884831015
zdt1,30,12,54,OADE_NSGAII,0.0190461707403959,0.8538578946812736
zdt1,30,12,54,NSGAII_SDR_OLS,0.7279316043182034,0.24922240701225687
zdt1,30,12,54,CE_MOEA,0.006239041751891283,0.8660232395115977
zdt1,30,13,55,OADE_NSGAII,0.004679031149517512,0.8706918500551473
zdt1,30,13,55,NSGAII_SDR_OLS,0.7505166972416789,0.22247987168619526
zdt1,30,13,55,CE_MOEA,0.006464939647743763,0.8653017766393811
zdt1,30,14,56,OADE_NSGAII,0.005113265005111222,0.8703312198163902
zdt1,30,14,56,NSGAII_SDR_OLS,0.7363097428581392,0.23893449656812119
zdt1,30,14,56,CE_MOEA,0.0065167291847980854,0.8647586904215208
zdt1,30,15,57,OADE_NSGAII,0.007201152204424703,0.8679294268682534
zdt1,30,15,57,NSGAII_SDR_OLS,0.7643851282494343,0.20561971981871627
zdt1,30,15,57,CE_MOEA,0.0074848141771114455,0.8633032192257631
zdt1,30,16,58,OADE_NSGAII,0.0063300171467212145,0.8690634271389492
zdt1,30,16,58,NSGAII_SDR_OLS,0.6927821896412713,0.28961513138937345
zdt1,30,16,58,CE_MOEA,0.005626040051911847,0.8672751215071798
zdt1,30,17,59,OADE_NSGAII,0.004552671432225468,0.8708511783040349
zdt1,30,17,59,NSGAII_SDR_OLS,0.7375034877702794,0.23843553373487442
zdt1,30,17,59,CE_MOEA,0.006408659800883819,0.8660638084625258
zdt1,30,18,60,OADE_NSGAII,0.009143676589247302,0.8654249431843544
zdt1,30,18,60,NSGAII_SDR_OLS,0.7991754394596032,0.16236862847721792
zdt1,30,18,60,CE_MOEA,0.007811332521768618,0.8624427540384825
zdt1,30,19,61,OADE_NSGAII,0.01619942088522495,0.8555924307285078
zdt1,30,19,61,NSGAII_SDR_OLS,0.7237534666675219,0.25334163943965327
zdt1,30,19,61,CE_MOEA,0.0058793012047132845,0.8659649730889483
zdt1,30,20,62,OADE_NSGAII,0.004348958872450105,0.8708105115648247
zdt1,30,20,62,NSGAII_SDR_OLS,0.684922031675473,0.2960738100540381
zdt1,30,20,62,CE_MOEA,0.006946919380986632,0.864460493668224
zdt1,30,21,63,OADE_NSGAII,0.004244580703872396,0.870989933732948
zdt1,30,21,63,NSGAII_SDR_OLS,0.7114675005272185,0.2685545040868005
zdt1,30,21,63,CE_MOEA,0.005905690341083441,0.8664205379370116
zdt1,30,22,64,OADE_NSGAII,0.008683593569732171,0.8652387698428126
zdt1,30,22,64,NSGAII_SDR_OLS,0.7344505757242787,0.24124261524040047
zdt1,30,22,64,CE_MOEA,0.006881706474085828,0.8648844952460755
zdt1,30,23,65,OADE_NSGAII,0.014501047991090256,0.8571667405876512
zdt1,30,23,65,NSGAII_SDR_OLS,0.7431332546436978,0.2309458193169048
zdt1,30,23,65,CE_MOEA,0.006756897612685195,0.8646108602327025
zdt1,30,24,66,OADE_NSGAII,0.01845939545871671,0.8533785617715339
zdt1,30,24,66,NSGAII_SDR_OLS,0.7732363967117999,0.19487568916394832
zdt1,30,24,66,CE_MOEA,0.00698140162417116,0.8643792979829849
zdt1,30,25,67,OADE_NSGAII,0.011640956249668077,0.8632173818988969
zdt1,30,25,67,NSGAII_SDR_OLS,0.6898734237959566,0.2909763047440757
zdt1,30,25,67,CE_MOEA,0.006250830272590982,0.8657026717043054
zdt1,30,26,68,OADE_NSGAII,0.006887179067156092,0.8685200760153257
zdt1,30,26,68,NSGAII_SDR_OLS,0.6988943204976776,0.2831700911052072
zdt1,30,26,68,CE_MOEA,0.00824787093605617,0.8617451493731816
zdt1,30,27,69,OADE_NSGAII,0.004063427900201707,0.8712198650177716
zdt1,30,27,69,NSGAII_SDR_OLS,0.7427454813414219,0.23140298278875462
zdt1,30,27,69,CE_MOEA,0.006152317166381058,0.8658197105851506
zdt1,30,28,70,OADE_NSGAII,0.004477332680883702,0.8711734378334314
zdt1,30,28,70,NSGAII_SDR_OLS,0.782041718640611,0.1840091560295073
zdt1,30,28,70,CE_MOEA,0.006414482545352841,0.8654238812246906
zdt1,30,29,71,OADE_NSGAII,0.004438408419292874,0.8707847195323917
zdt1,30,29,71,NSGAII_SDR_OLS,0.8113263436162106,0.14663837914096958
zdt1,30,29,71,CE_MOEA,0.008577896122311286,0.8613597505649788
zdt2,30,0,42,OADE_NSGAII,0.00469393458325358,0.5376903002974202
zdt2,30,0,42,NSGAII_SDR_OLS,0.6104614577373045,0.10999999999892468
zdt2,30,0,42,CE_MOEA,0.008068196190020523,0.5291524602080451
zdt2,30,1,43,OADE_NSGAII,0.004636017819631733,0.5373526335549862
zdt2,30,1,43,NSGAII_SDR_OLS,0.61046145773799,0.10999999999714508
zdt2,30,1,43,CE_MOEA,0.00848115892225997,0.5271935511523077
zdt2,30,2,44,OADE_NSGAII,0.004761603252393952,0.5374170067664762
zdt2,30,2,44,NSGAII_SDR_OLS,0.6104614577370627,0.10999999999955289
zdt2,30,2,44,CE_MOEA,0.006733899785241975,0.5307341281510655
zdt2,30,3,45,OADE_NSGAII,0.004576935266587321,0.5377523490394213
zdt2,30,3,45,NSGAII_SDR_OLS,0.6104614577371906,0.10999999999922071
zdt2,30,3,45,CE_MOEA,0.005931763255637533,0.5327025294787674
zdt2,30,4,46,OADE_NSGAII,0.005421958994173858,0.5362772662699091
zdt2,30,4,46,NSGAII_SDR_OLS,0.6104614577394024,0.10999999999347719
zdt2,30,4,46,CE_MOEA,0.009535116934223582,0.5253130123466266
zdt2,30,5,47,OADE_NSGAII,0.0046238366339394375,0.5375118135927812
zdt2,30,5,47,NSGAII_SDR_OLS,0.6104614577385259,0.1099999999957531
zdt2,30,5,47,CE_MOEA,0.007038936437932757,0.5309267681190213
zdt2,30,6,48,OADE_NSGAII,0.008840899203443598,0.5331473422885524
zdt2,30,6,48,NSGAII_SDR_OLS,0.6104614577391804,0.10999999999405362
zdt2,30,6,48,CE_MOEA,0.007024209060102451,0.5307449699140611
zdt2,30,7,49,OADE_NSGAII,0.0051713420096999585,0.5368360509851077
zdt2,30,7,49,NSGAII_SDR_OLS,0.6104614577493709,0.10999999996759119
zdt2,30,7,49,CE_MOEA,0.007471462758230415,0.5287490841333484
zdt2,30,8,50,OADE_NSGAII,0.006887811092401126,0.534459128524429
zdt2,30,8,50,NSGAII_SDR_OLS,0.6104614577377669,0.1099999999977242
zdt2,30,8,50,CE_MOEA,0.006581044517285436,0.5317091095393272
zdt2,30,9,51,OADE_NSGAII,0.004587427927691348,0.5371326805106784
zdt2,30,9,51,NSGAII_SDR_OLS,0.6104614577378635,0.1099999999974731
zdt2,30,9,51,CE_MOEA,0.008312664780738202,0.5295605784806108
zdt2,30,10,52,OADE_NSGAII,0.004747306809066043,0.5378205679544042
zdt2,30,10,52,NSGAII_SDR_OLS,0.6104614577370583,0.10999999999956413
zdt2,30,10,52,CE_MOEA,0.006167288891730151,0.532475049796927
zdt2,30,11,53,OADE_NSGAII,0.005286206051822531,0.5374271203731807
zdt2,30,11,53,NSGAII_SDR_OLS,0.6104614577381784,0.1099999999966556
zdt2,30,11,53,CE_MOEA,0.008732076419736544,0.5267275429249892
zdt2,30,12,54,OADE_NSGAII,0.006162937222460776,0.5347214514280599
zdt2,30,12,54,NSGAII_SDR_OLS,0.6104614577421564,0.10999999998632558
zdt2,30,12,54,CE_MOEA,0.007223039238582001,0.5302640873520731
zdt2,30,13,55,OADE_NSGAII,0.004405159607311568,0.5377786526130941
zdt2,30,13,55,NSGAII_SDR_OLS,0.6104614577420392,0.10999999998662992
zdt2,30,13,55,CE_MOEA,0.005892059505355587,0.5324202967808307
zdt2,30,14,56,OADE_NSGAII,0.006097092315163426,0.5355068811515034
zdt2,30,14,56,NSGAII_SDR_OLS,0.6104614577383297,0.1099999999962626
zdt2,30,14,56,CE_MOEA,0.0062961531581498245,0.5314162049871941
zdt2,30,15,57,OADE_NSGAII,0.005011983082722974,0.5373001834975507
zdt2,30,15,57,NSGAII_SDR_OLS,0.6104614577388772,0.10999999999484107
zdt2,30,15,57,CE_MOEA,0.0085522249727894,0.5275331336760857
zdt2,30,16,58,OADE_NSGAII,0.0046542153121287505,0.5377425744679256
zdt2,30,16,58,NSGAII_SDR_OLS,0.6104614577373323,0.10999999999885286
zdt2,30,16,58,CE_MOEA,0.007269905039562268,0.5300132808719099
zdt2,30,17,59,OADE_NSGAII,0.008981061157398657,0.5309355590240337
zdt2,30,17,59,NSGAII_SDR_OLS,0.6104614577373435,0.1099999999988238
zdt2,30,17,59,CE_MOEA,0.008390076505501439,0.5279324404238501
zdt2,30,18,60,OADE_NSGAII,0.005986646836570722,0.5349202081978323
zdt2,30,18,60,NSGAII_SDR_OLS,0.6104614577375547,0.10999999999827521
zdt2,30,18,60,CE_MOEA,0.007148816069856189,0.5305119645282222
zdt2,30,19,61,OADE_NSGAII,0.004928396655290097,0.5375415281732121
zdt2,30,19,61,NSGAII_SDR_OLS,0.61046145773774,0.10999999999779404
zdt2,30,19,61,CE_MOEA,0.007532998329262424,0.5304876726618233
zdt2,30,20,62,OADE_NSGAII,0.0145298302347812,0.526473115895934
zdt2,30,20,62,NSGAII_SDR_OLS,0.6104614577373225,0.10999999999887802
zdt2,30,20,62,CE_MOEA,0.007025752862880907,0.5302634071661705
zdt2,30,21,63,OADE_NSGAII,0.0050374880006675135,0.5375303106103898
zdt2,30,21,63,NSGAII_SDR_OLS,0.6104614577414371,0.1099999999881936
zdt2,30,21,63,CE_MOEA,0.008544187411019448,0.5272038163095608
zdt2,30,22,64,OADE_NSGAII,0.004861175450093697,0.5367319356481021
zdt2,30,22,64,NSGAII_SDR_OLS,0.6104614577376001,0.10999999999815774
zdt2,30,22,64,CE_MOEA,0.006249237910116052,0.531913437379359
zdt2,30,23,65,OADE_NSGAII,0.00925367648864484,0.5304043644875588
zdt2,30,23,65,NSGAII_SDR_OLS,0.6104614577396087,0.10999999999294155
zdt2,30,23,65,CE_MOEA,0.008418863784353994,0.5281097516099913
zdt2,30,24,66,OADE_NSGAII,0.004497565405221618,0.5380386354816774
zdt2,30,24,66,NSGAII_SDR_OLS,0.6104614577370943,0.10999999999947081
zdt2,30,24,66,CE_MOEA,0.007099481854690552,0.5304138930677601
zdt2,30,25,67,OADE_NSGAII,0.009509476378083893,0.5323648878504281
zdt2,30,25,67,NSGAII_SDR_OLS,0.6104614577386325,0.10999999999547662
zdt2,30,25,67,CE_MOEA,0.008627918411316108,0.5272334486382569
zdt2,30,26,68,OADE_NSGAII,0.004766521810389624,0.5375355946523742
zdt2,30,26,68,NSGAII_SDR_OLS,0.6104614577382366,0.10999999999650466
zdt2,30,26,68,CE_MOEA,0.006149596133000752,0.5314460013871793
zdt2,30,27,69,OADE_NSGAII,0.005112370643523706,0.5371646109477296
zdt2,30,27,69,NSGAII_SDR_OLS,0.6104614577375024,0.10999999999841102
zdt2,30,27,69,CE_MOEA,0.0075667929941541845,0.5289759726649527
zdt2,30,28,70,OADE_NSGAII,0.004871502639086089,0.5375596063626633
zdt2,30,28,70,NSGAII_SDR_OLS,0.6104614577415716,0.10999999998784432
zdt2,30,28,70,CE_MOEA,0.008461254253586997,0.5286103895149483
zdt2,30,29,71,OADE_NSGAII,0.004865525423771733,0.5375344845484764
zdt2,30,29,71,NSGAII_SDR_OLS,0.6104614577386146,0.10999999999552303
zdt2,30,29,71,CE_MOEA,0.007779142384196881,0.5293687205159001
zdt3,30,0,42,OADE_NSGAII,0.004807902511739935,1.0512625179202313
zdt3,30,0,42,NSGAII_SDR_OLS,0.790438811808733,0.35814441655371676
zdt3,30,0,42,CE_MOEA,0.007129670945446147,1.0385548132604923
zdt3,30,1,43,OADE_NSGAII,0.006281873402834012,1.050692666383295
zdt3,30,1,43,NSGAII_SDR_OLS,0.9040853792575213,0.24479514510076902
zdt3,30,1,43,CE_MOEA,0.00850515929980521,1.033767111977694
zdt3,30,2,44,OADE_NSGAII,0.00562063974553263,1.0511228483186252
zdt3,30,2,44,NSGAII_SDR_OLS,0.9949878338996752,0.15545147163604658
zdt3,30,2,44,CE_MOEA,0.009849331421054416,1.0299608171186272
zdt3,30,3,45,OADE_NSGAII,0.005334439171953819,1.0513889475013258
zdt3,30,3,45,NSGAII_SDR_OLS,0.9444781367722451,0.20545528354433057
zdt3,30,3,45,CE_MOEA,0.008227025830095703,1.035129590689932
zdt3,30,4,46,OADE_NSGAII,0.009467194767181249,1.0487320324437048
zdt3,30,4,46,NSGAII_SDR_OLS,0.8059308208352972,0.3444300699093211
zdt3,30,4,46,CE_MOEA,0.008663204406934844,1.0342159049491062
zdt3,30,5,47,OADE_NSGAII,0.005285857389660377,1.0511735421971131
zdt3,30,5,47,NSGAII_SDR_OLS,0.7795292811052227,0.3703839871706349
zdt3,30,5,47,CE_MOEA,0.008792828945527015,1.0332639067418319
zdt3,30,6,48,OADE_NSGAII,0.021661935134699484,1.039744188757658
zdt3,30,6,48,NSGAII_SDR_OLS,0.9445630906953908,0.20496063364204106
zdt3,30,6,48,CE_MOEA,0.01240910377105119,1.0229500715753
zdt3,30,7,49,OADE_NSGAII,0.020147512762326167,1.0406790898235265
zdt3,30,7,49,NSGAII_SDR_OLS,0.8963019055022393,0.25256047901711937
zdt3,30,7,49,CE_MOEA,0.006620273834193652,1.0410379849536027
zdt3,30,8,50,OADE_NSGAII,0.008173808964205187,1.0492262291071248
zdt3,30,8,50,NSGAII_SDR_OLS,0.8021115032662284,0.34688904926517505
zdt3,30,8,50,CE_MOEA,0.008607073251659218,1.0349202366149879
zdt3,30,9,51,OADE_NSGAII,0.007580391526899559,1.0497719160218304
zdt3,30,9,51,NSGAII_SDR_OLS,0.7606303716848295,0.3851628718513702
zdt3,30,9,51,CE_MOEA,0.007022902468540715,1.0396518947934577
zdt3,30,10,52,OADE_NSGAII,0.01574411982738053,1.0437916766941628
zdt3,30,10,52,NSGAII_SDR_OLS,0.777272086717514,0.3724417894858112
zdt3,30,10,52,CE_MOEA,0.008400986005732724,1.0367532660567147
zdt3,30,11,53,OADE_NSGAII,0.011800812531480164,1.047127238649515
zdt3,30,11,53,NSGAII_SDR_OLS,0.7745640093898055,0.37491341709901377
zdt3,30,11,53,CE_MOEA,0.009875193772298252,1.0330710544641237
zdt3,30,12,54,OADE_NSGAII,0.005056513879471338,1.0511615210167147
zdt3,30,12,54,NSGAII_SDR_OLS,0.9088174928472066,0.24014066605278675
zdt3,30,12,54,CE_MOEA,0.008320143179244475,1.0333918641295872
zdt3,30,13,55,OADE_NSGAII,0.0053538688044236825,1.0511786845430597
zdt3,30,13,55,NSGAII_SDR_OLS,0.7667041808330652,0.381462727230086
zdt3,30,13,55,CE_MOEA,0.006270547658551545,1.0414961243901482
zdt3,30,14,56,OADE_NSGAII,0.005778117925431398,1.0509002468674042
zdt3,30,14,56,NSGAII_SDR_OLS,0.9262919903005893,0.22287851261898178
zdt3,30,14,56,CE_MOEA,0.007674059268770375,1.0369443647616206
zdt3,30,15,57,OADE_NSGAII,0.01287207140964417,1.047116486825794
zdt3,30,15,57,NSGAII_SDR_OLS,0.777984659822839,0.3713854628924695
zdt3,30,15,57,CE_MOEA,0.007509072657913457,1.039142098831229
zdt3,30,16,58,OADE_NSGAII,0.005778120132007471,1.0511635953175593
zdt3,30,16,58,NSGAII_SDR_OLS,1.0453556708438292,0.10421966925419297
zdt3,30,16,58,CE_MOEA,0.007339360957592415,1.0370728553996962
zdt3,30,17,59,OADE_NSGAII,0.006680210077096697,1.0508741188202169
zdt3,30,17,59,NSGAII_SDR_OLS,0.8313744116498544,0.3163499102891503
zdt3,30,17,59,CE_MOEA,0.00675908212739744,1.0401692131076017
zdt3,30,18,60,OADE_NSGAII,0.005810722553053133,1.051024303525615
zdt3,30,18,60,NSGAII_SDR_OLS,0.9281524285708492,0.22126458484013323
zdt3,30,18,60,CE_MOEA,0.010490769689490215,1.0276432129221584
