problem,algorithm,hv_best,igd_best
zdt1,improved_nsga2,0.8714836168931352,0.004104964639174279
zdt1,pymoo_dnsga2,0.8687650070644908,0.004789662227875817
zdt1,pymoo_nsga2,0.8690068032991695,0.004616236699907242
zdt1,pymoo_rnsga2,0.732140378068318,0.10799589910594946
zdt2,improved_nsga2,0.537833035949836,0.004156313005366199
zdt2,pymoo_dnsga2,0.5355922987492399,0.004796156334462494
zdt2,pymoo_nsga2,0.534906337264431,0.0052845787936575996
zdt2,pymoo_rnsga2,0.4435888516468246,0.08177538971479956
zdt3,improved_nsga2,1.0959943759564936,0.0049838677870247036
zdt3,pymoo_dnsga2,1.0938676436303834,0.005237315491022287
zdt3,pymoo_nsga2,1.093922659161271,0.0050281383385637046
zdt3,pymoo_rnsga2,0.9961100741590091,0.07029286467707617
zdt4,improved_nsga2,0.8699004320092065,0.004424339626908379
zdt4,pymoo_dnsga2,0.8670848629406479,0.005657383425783541
zdt4,pymoo_nsga2,0.8678572210530748,0.00521749613490986
zdt4,pymoo_rnsga2,0.776904881556966,0.07778283625549712
zdt6,improved_nsga2,0.40383300352631757,0.0033080194186241173
zdt6,pymoo_dnsga2,0.3847031975805343,0.015605541307493184
zdt6,pymoo_nsga2,0.3855518814887587,0.015196543003648222
zdt6,pymoo_rnsga2,0.35549760720869944,0.0388008651356458
