problem,full_model,ablation_algorithm,hv_mean_full,hv_mean_ablation,delta_hv_abs,delta_hv_pct,hv_improvement_abs,hv_improvement_pct,igd_mean_full,igd_mean_ablation,delta_igd_abs,delta_igd_pct,igd_improvement_abs,igd_improvement_pct,runtime_mean_full,runtime_mean_ablation,delta_runtime_abs,delta_runtime_pct
zdt1,improved_nsga2,improved_nsga2_ablation_no_adaptive_de,0.870818700203768,0.8708359329962647,1.7232792496768568e-05,0.0019789185157296422,1.7232792496768568e-05,0.0019789185157296422,0.004501147475292089,0.004508413433393678,7.26595810158874e-06,0.1614245732110174,-7.26595810158874e-06,-0.1614245732110174,1.4633742800000618,1.3848895199998879,-0.0784847600001739,-5.363273160723488
zdt1,improved_nsga2,improved_nsga2_ablation_no_obl_init,0.870818700203768,0.8707488360967266,-6.986410704135082e-05,-0.008022807390907305,-6.986410704135082e-05,-0.008022807390907305,0.004501147475292089,0.004514028123507784,1.2880648215694498e-05,0.28616365685415907,-1.2880648215694498e-05,-0.28616365685415907,1.4633742800000618,1.5702657200000432,0.10689143999998141,7.304449822637097
zdt1,improved_nsga2,improved_nsga2_ablation_no_restart,0.870818700203768,0.8710696650763193,0.00025096487255138467,0.028819417002949058,0.00025096487255138467,0.028819417002949058,0.004501147475292089,0.0042593142891305495,-0.00024183318616153963,-5.3727007943868035,0.00024183318616153963,5.3727007943868035,1.4633742800000618,1.4499901000001045,-0.013384179999957224,-0.9146108540295419
zdt2,improved_nsga2,improved_nsga2_ablation_no_adaptive_de,0.5376605988503249,0.537618762095244,-4.183675508095952e-05,-0.007781257389962868,-4.183675508095952e-05,-0.007781257389962868,0.004506360669524679,0.004749776777167749,0.00024341610764307044,5.40161175489634,-0.00024341610764307044,-5.40161175489634,1.5841544599999906,1.513684380000086,-0.07047007999990451,-4.448434908292019
zdt2,improved_nsga2,improved_nsga2_ablation_no_obl_init,0.5376605988503249,0.5338686360520629,-0.003791962798261994,-0.7052707240162875,-0.003791962798261994,-0.7052707240162875,0.004506360669524679,0.009535028114745811,0.005028667445221132,111.59043436599906,-0.005028667445221132,-111.59043436599906,1.5841544599999906,1.5243161600000348,-0.059838299999955824,-3.77730211989279
zdt2,improved_nsga2,improved_nsga2_ablation_no_restart,0.5376605988503249,0.5377596685540732,9.906970374828905e-05,0.018426067292289773,9.906970374828905e-05,0.018426067292289773,0.004506360669524679,0.004814838037695049,0.00030847736817036977,6.845376808308317,-0.00030847736817036977,-6.845376808308317,1.5841544599999906,1.4688766400000532,-0.11527781999993736,-7.27693055890131
zdt3,improved_nsga2,improved_nsga2_ablation_no_adaptive_de,1.0957201083825754,1.0955106486578552,-0.0002094597247201957,-0.019116170554667043,-0.0002094597247201957,-0.019116170554667043,0.0052917546247036335,0.006216492596451974,0.0009247379717483408,17.475072775131387,-0.0009247379717483408,-17.475072775131387,1.4579357599999638,1.4519699399999808,-0.005965819999983024,-0.40919635581084673
zdt3,improved_nsga2,improved_nsga2_ablation_no_obl_init,1.0957201083825754,1.0915064104710095,-0.004213697911565895,-0.3845596954304195,-0.004213697911565895,-0.3845596954304195,0.0052917546247036335,0.011891112369644496,0.006599357744940863,124.71019941349721,-0.006599357744940863,-124.71019941349721,1.4579357599999638,1.4425234199999069,-0.015412340000056979,-1.057134369216471
zdt3,improved_nsga2,improved_nsga2_ablation_no_restart,1.0957201083825754,1.0959673156040413,0.0002472072214658727,0.022561164988637705,0.0002472072214658727,0.022561164988637705,0.0052917546247036335,0.0051375722096621374,-0.00015418241504149607,-2.913635003439546,0.00015418241504149607,2.913635003439546,1.4579357599999638,1.4209455199998957,-0.03699024000006812,-2.537165286354526
zdt4,improved_nsga2,improved_nsga2_ablation_no_adaptive_de,0.8662118946608384,0.8701461549244494,0.003934260263610989,0.4541914383606372,0.003934260263610989,0.4541914383606372,0.0060994613000162606,0.00458032010725416,-0.0015191411927621004,-24.906153478800668,0.0015191411927621004,24.906153478800668,1.6497229799999331,1.7287668200001463,0.07904384000021314,4.791340180047461
zdt4,improved_nsga2,improved_nsga2_ablation_no_obl_init,0.8662118946608384,0.8672246894158,0.0010127947549616323,0.11692228670655554,0.0010127947549616323,0.11692228670655554,0.0060994613000162606,0.005877110604218135,-0.00022235069579812534,-3.6454153057341734,0.00022235069579812534,3.6454153057341734,1.6497229799999331,1.7550838399998612,0.10536085999992806,6.38657891520262
zdt4,improved_nsga2,improved_nsga2_ablation_no_restart,0.8662118946608384,0.8688011111970949,0.0025892165362565445,0.2989126046658989,0.0025892165362565445,0.2989126046658989,0.0060994613000162606,0.004912997680240864,-0.0011864636197753964,-19.451941104573176,0.0011864636197753964,19.451941104573176,1.6497229799999331,1.6749395200000436,0.025216540000110532,1.5285317781117138
zdt6,improved_nsga2,improved_nsga2_ablation_no_adaptive_de,0.40050685944654874,0.4035386102377438,0.0030317507911950536,0.7569784935480408,0.0030317507911950536,0.7569784935480408,0.006187972719214625,0.003813638051784992,-0.0023743346674296333,-38.37015409032028,0.0023743346674296333,38.37015409032028,1.4470609600000899,1.4376141600000665,-0.009446800000023403,-0.6528266784298303
zdt6,improved_nsga2,improved_nsga2_ablation_no_obl_init,0.40050685944654874,0.40326419583551765,0.0027573363889689118,0.6884617139339915,0.0027573363889689118,0.6884617139339915,0.006187972719214625,0.0038127434786262965,-0.0023752292405883287,-38.38461073386555,0.0023752292405883287,38.38461073386555,1.4470609600000899,1.5637491999999837,0.11668823999989386,8.0638095578148
zdt6,improved_nsga2,improved_nsga2_ablation_no_restart,0.40050685944654874,0.4033889669909727,0.002882107544423973,0.7196150269203108,0.002882107544423973,0.7196150269203108,0.006187972719214625,0.003768598337816343,-0.002419374381398282,-39.09801305176646,0.002419374381398282,39.09801305176646,1.4470609600000899,1.423678039999959,-0.02338292000013098,-1.615890459799947
