problem,algorithm,hv_mean,igd_mean,delta_hv_vs_full,delta_igd_vs_full
zdt1,OADE_NSGA2_ablation_no_adaptive_de,0.8689694679173623,0.00591763929063636,-0.0006461300578048945,0.0002633573153593251
zdt1,OADE_NSGA2_ablation_no_obl_init,0.8656861172549983,0.008486825090176505,-0.003929480720168854,0.00283254311489947
zdt1,OADE_NSGA2_ablation_no_periodic_obl,0.8700078189061584,0.005226104441596641,0.00039222093099122723,-0.0004281775336803942
zdt1,OADE_NSGA2_ablation_no_restart,0.8709135443175104,0.004496119650190688,0.0012979463423432591,-0.0011581623250863466
zdt2,OADE_NSGA2_ablation_no_adaptive_de,0.5348225803496234,0.0066144280487390305,-0.00039540259933223965,0.0001841146913902341
zdt2,OADE_NSGA2_ablation_no_obl_init,0.5321498720483189,0.008904283523072548,-0.0030681109006367446,0.0024739701657237514
zdt2,OADE_NSGA2_ablation_no_periodic_obl,0.5353016095040622,0.006224047209424639,8.362655510663064e-05,-0.00020626614792415739
zdt2,OADE_NSGA2_ablation_no_restart,0.5376750050135612,0.0046157236141964085,0.0024570220646056296,-0.0018145897431523879
zdt3,OADE_NSGA2_ablation_no_adaptive_de,1.0942601750985288,0.008145717644540373,0.00032130929823614984,-0.0002666516062122485
zdt3,OADE_NSGA2_ablation_no_obl_init,1.0936063857543314,0.00883760110994882,-0.0003324800459612032,0.00042523185919619844
zdt3,OADE_NSGA2_ablation_no_periodic_obl,1.0927879208749103,0.009610032781952382,-0.001150944925382369,0.0011976635311997611
zdt3,OADE_NSGA2_ablation_no_restart,1.0959432871737005,0.005054997304801472,0.0020044213734078387,-0.0033573719459511495
zdt4,OADE_NSGA2_ablation_no_adaptive_de,0.5068298176654741,0.35022676237159356,0.04478813583638025,0.024565658618841524
zdt4,OADE_NSGA2_ablation_no_obl_init,0.468314485765947,0.3884507650414681,0.006272803936853144,0.06278966128871605
zdt4,OADE_NSGA2_ablation_no_periodic_obl,0.262567524066758,0.6971002136104207,-0.19947415776233585,0.3714391098576687
zdt4,OADE_NSGA2_ablation_no_restart,0.4179356900048771,0.38870185607012464,-0.044105991824216706,0.0630407523173726
zdt6,OADE_NSGA2_ablation_no_adaptive_de,0.40173933134173095,0.0053557270366091205,0.0004091736344919439,-0.0003042911755735617
zdt6,OADE_NSGA2_ablation_no_obl_init,0.4011644214398229,0.005754887421471471,-0.0001657362674161167,9.486920928878859e-05
zdt6,OADE_NSGA2_ablation_no_periodic_obl,0.4017966536022899,0.005310067151141837,0.00046649589505087796,-0.0003499510610408454
zdt6,OADE_NSGA2_ablation_no_restart,0.40334254202972114,0.0038665710955291823,0.0020123843224821303,-0.0017934471166534999
