problem,full_model,ablation_algorithm,hv_mean_full,hv_mean_ablation,delta_hv_abs,delta_hv_pct,hv_improvement_abs,hv_improvement_pct,igd_mean_full,igd_mean_ablation,delta_igd_abs,delta_igd_pct,igd_improvement_abs,igd_improvement_pct,runtime_mean_full,runtime_mean_ablation,delta_runtime_abs,delta_runtime_pct
zdt1,pymoo_nsga2,improved_nsga2_incremental_baseline,0.8683503741905098,0.8555005625004352,-0.012849811690074597,-1.4797957220958649,-0.012849811690074597,-1.4797957220958649,0.005040293332498037,0.02158994198244328,0.016549648649945244,328.34693455714046,-0.016549648649945244,-328.34693455714046,0.8753038800000468,1.276983680000012,0.4016797999999653,45.89032554042189
zdt1,pymoo_nsga2,improved_nsga2_incremental_plus_de_adaptive,0.8683503741905098,0.8708899314237032,0.0025395572331934346,0.29245766555474234,0.0025395572331934346,0.29245766555474234,0.005040293332498037,0.004359021358327662,-0.0006812719741703752,-13.516514401607804,0.0006812719741703752,13.516514401607804,0.8753038800000468,3.3339917700000115,2.4586878899999647,280.8953491671753
zdt1,pymoo_nsga2,improved_nsga2_incremental_plus_de_fixed,0.8683503741905098,0.8709286644143527,0.0025782902238429273,0.29691819114449636,0.0025782902238429273,0.29691819114449636,0.005040293332498037,0.004330509199842581,-0.0007097841326554567,-14.082198908524202,0.0007097841326554567,14.082198908524202,0.8753038800000468,1.4743252099999153,0.5990213299998686,68.43581340000875
zdt1,pymoo_nsga2,improved_nsga2_incremental_plus_obl_init,0.8683503741905098,0.8418154951372163,-0.026534879053293436,-3.0557802290382705,-0.026534879053293436,-3.0557802290382705,0.005040293332498037,0.039747011329435124,0.034706717996937086,688.5852808042022,-0.034706717996937086,-688.5852808042022,0.8753038800000468,1.2234505600000376,0.3481466799999908,39.77437869919784
zdt1,pymoo_nsga2,improved_nsga2_incremental_plus_periodic_obl,0.8683503741905098,0.8553102711851871,-0.013040103005322656,-1.5017098388975592,-0.013040103005322656,-1.5017098388975592,0.005040293332498037,0.023938504506595244,0.018898211174097207,374.94268542364773,-0.018898211174097207,-374.94268542364773,0.8753038800000468,5.955960520000008,5.080656639999961,580.4448896079027
zdt1,pymoo_nsga2,improved_nsga2_incremental_plus_restart,0.8683503741905098,0.8518488136344586,-0.01650156055605112,-1.9003343634686796,-0.01650156055605112,-1.9003343634686796,0.005040293332498037,0.024261435444892124,0.019221142112394087,381.3496724181295,-0.019221142112394087,-381.3496724181295,0.8753038800000468,5.7890912799999565,4.91378739999991,561.3807401378875
zdt2,pymoo_nsga2,improved_nsga2_incremental_baseline,0.5339908499121813,0.3475374158147744,-0.1864534340974069,-34.91697172864863,-0.1864534340974069,-34.91697172864863,0.005501570389165868,0.17806590986731197,0.1725643394781461,3136.637855583446,-0.1725643394781461,-3136.637855583446,0.7978438900000129,1.2283381899999768,0.4304942999999639,53.95720959898019
zdt2,pymoo_nsga2,improved_nsga2_incremental_plus_de_adaptive,0.5339908499121813,0.5376026623342431,0.0036118124220618775,0.6763809572122569,0.0036118124220618775,0.6763809572122569,0.005501570389165868,0.004883719585862538,-0.0006178508033033298,-11.230444393114572,0.0006178508033033298,11.230444393114572,0.7978438900000129,1.5355397100000574,0.7376958200000445,92.4611730748521
zdt2,pymoo_nsga2,improved_nsga2_incremental_plus_de_fixed,0.5339908499121813,0.5376556292997219,0.0036647793875406176,0.6863000345686293,0.0036647793875406176,0.6863000345686293,0.005501570389165868,0.004688587978377576,-0.0008129824107882917,-14.7772790908807,0.0008129824107882917,14.7772790908807,0.7978438900000129,1.6951303800000914,0.8972864900000785,112.46391697003082
zdt2,pymoo_nsga2,improved_nsga2_incremental_plus_obl_init,0.5339908499121813,0.48667381378645524,-0.04731703612572602,-8.861020021880085,-0.04731703612572602,-8.861020021880085,0.005501570389165868,0.03596953541824203,0.03046796502907616,553.8048752239199,-0.03046796502907616,-553.8048752239199,0.7978438900000129,1.264788790000057,0.46694490000004407,58.525847706878665
zdt2,pymoo_nsga2,improved_nsga2_incremental_plus_periodic_obl,0.5339908499121813,0.36815366449253323,-0.16583718541964804,-31.056184847909133,-0.16583718541964804,-31.056184847909133,0.005501570389165868,0.16289407909202808,0.1573925087028622,2860.865127033767,-0.1573925087028622,-2860.865127033767,0.7978438900000129,1.2904617299999699,0.492617839999957,61.74363759305709
zdt2,pymoo_nsga2,improved_nsga2_incremental_plus_restart,0.5339908499121813,0.3299739626567632,-0.20401688725541806,-38.206064259147915,-0.20401688725541806,-38.206064259147915,0.005501570389165868,0.20370879804462816,0.19820722765546228,3602.7391023804366,-0.19820722765546228,-3602.7391023804366,0.7978438900000129,1.2374287800000274,0.43958489000001455,55.096604174033025
zdt3,pymoo_nsga2,improved_nsga2_incremental_baseline,1.0928452999266043,1.0706267390282993,-0.022218560898304984,-2.0330929638254553,-0.022218560898304984,-2.0330929638254553,0.005611428782824377,0.042028638358782476,0.0364172095759581,648.9828345933025,-0.0364172095759581,-648.9828345933025,0.9074868199999855,1.2232369900000322,0.3157501700000467,34.79391248900471
zdt3,pymoo_nsga2,improved_nsga2_incremental_plus_de_adaptive,1.0928452999266043,1.0958922593911262,0.0030469594645219367,0.2788097697566683,0.0030469594645219367,0.2788097697566683,0.005611428782824377,0.005283258469326739,-0.00032817031349763846,-5.848248747308557,0.00032817031349763846,5.848248747308557,0.9074868199999855,1.453317770000058,0.5458309500000724,60.1475347047003
zdt3,pymoo_nsga2,improved_nsga2_incremental_plus_de_fixed,1.0928452999266043,1.0959554983434034,0.003110198416799159,0.28459640326110575,0.003110198416799159,0.28459640326110575,0.005611428782824377,0.004847533064711353,-0.0007638957181130245,-13.613212386320903,0.0007638957181130245,13.613212386320903,0.9074868199999855,1.3910564700000123,0.48356965000002683,53.28668575043707
zdt3,pymoo_nsga2,improved_nsga2_incremental_plus_obl_init,1.0928452999266043,1.0610841331675906,-0.03176116675901364,-2.9062820475273785,-0.03176116675901364,-2.9062820475273785,0.005611428782824377,0.05223927097578933,0.04662784219296495,830.9442032960445,-0.04662784219296495,-830.9442032960445,0.9074868199999855,1.186465589999989,0.2789787700000035,30.741908736482582
zdt3,pymoo_nsga2,improved_nsga2_incremental_plus_periodic_obl,1.0928452999266043,1.0889444778600437,-0.0039008220665606164,-0.35694183493515474,-0.0039008220665606164,-0.35694183493515474,0.005611428782824377,0.01680732758755322,0.011195898804728845,199.51957403429185,-0.011195898804728845,-199.51957403429185,0.9074868199999855,1.2092831700000262,0.3017963500000407,33.2562791380315
zdt3,pymoo_nsga2,improved_nsga2_incremental_plus_restart,1.0928452999266043,1.0710870185311485,-0.02175828139545577,-1.9909754287196055,-0.02175828139545577,-1.9909754287196055,0.005611428782824377,0.04203632702894859,0.036424898246124215,649.1198526409992,-0.036424898246124215,-649.1198526409992,0.9074868199999855,1.2545664999999189,0.3470796799999334,38.24625023203521
