problem,algorithm,runs,hv_mean,hv_std,igd_mean,igd_std
zdt1,improved_nsga2,10,0.8709611178012727,0.00016963835765981879,0.00431954676455772,0.00016863923109250933
zdt1,pymoo_dnsga2,10,0.8682533526637229,0.00029583455453581595,0.005110220950933352,0.00016091335935461087
zdt1,pymoo_nsga2,10,0.8683503741905098,0.00036445519485244095,0.005040293332498037,0.00026783052397259956
zdt1,pymoo_rnsga2,10,0.6838511707660929,0.01866957848380286,0.130494945484058,0.009759216155203206
zdt2,improved_nsga2,10,0.5377388186697051,0.00019739212895081128,0.004525684623191172,0.0002869529633434978
zdt2,pymoo_dnsga2,10,0.5342785577748688,0.0006288939145822753,0.005343458303509837,0.0003519649725264866
zdt2,pymoo_nsga2,10,0.5339908499121813,0.0007377471899165345,0.005501570389165868,0.00020680764527178586
zdt2,pymoo_rnsga2,10,0.4162112687321319,0.017881464076825806,0.11057716437771314,0.017658245116479617
zdt3,improved_nsga2,10,1.0950980817390903,0.00137509062344244,0.006884806150219411,0.0022537187149075273
zdt3,pymoo_dnsga2,10,1.0930041076423378,0.0003371256120060247,0.00542097497795003,0.00014467738732391904
zdt3,pymoo_nsga2,10,1.0928452999266043,0.0005278195216072192,0.005611428782824377,0.0003860914960537018
zdt3,pymoo_rnsga2,10,0.8098768133750396,0.12322810751069205,0.14856562976206394,0.05354903679583604
zdt4,improved_nsga2,10,0.8688958122963173,0.0006524588268038667,0.004797263432784556,0.0002444812357476394
zdt4,pymoo_dnsga2,10,0.8604511741701254,0.005175908194629483,0.009074991271374348,0.002996904684490345
zdt4,pymoo_nsga2,10,0.8624163644005568,0.00360228628227589,0.007954068828668639,0.0018722453721068298
zdt4,pymoo_rnsga2,10,0.7231986134533445,0.034261079858349835,0.10829606254277138,0.019079204522331607
zdt6,improved_nsga2,10,0.4031580834972021,0.0004832724025807565,0.003936917002777618,0.0004176449555431542
zdt6,pymoo_dnsga2,10,0.3818053126852764,0.00301131571098493,0.01780761374289041,0.0022133775802497813
zdt6,pymoo_nsga2,10,0.3828537247355075,0.002195344387731576,0.017128817817596596,0.001550644646174133
zdt6,pymoo_rnsga2,10,0.3237555673045656,0.01610752073097231,0.06988788799983407,0.014405727263716936
