problem,step_index,algorithm,hv_mean,igd_mean,runtime_mean,step_delta_hv_abs,step_delta_hv_pct,step_hv_improvement_abs,step_hv_improvement_pct,step_delta_igd_abs,step_delta_igd_pct,step_igd_improvement_abs,step_igd_improvement_pct,step_delta_runtime_abs,step_delta_runtime_pct,cum_delta_hv_abs,cum_delta_hv_pct,cum_hv_improvement_abs,cum_hv_improvement_pct,cum_delta_igd_abs,cum_delta_igd_pct,cum_igd_improvement_abs,cum_igd_improvement_pct,cum_delta_runtime_abs,cum_delta_runtime_pct
zdt1,0,improved_nsga2_incremental_baseline,0.8555005625004352,0.02158994198244328,1.276983680000012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
zdt1,1,improved_nsga2_incremental_plus_obl_init,0.8418154951372163,0.039747011329435124,1.2234505600000376,-0.013685067363218839,-1.5996561502216287,-0.013685067363218839,-1.5996561502216287,0.018157069346991843,84.09966715870281,-0.018157069346991843,-84.09966715870281,-0.053533119999974454,-4.192153810452296,-0.013685067363218839,-1.5996561502216287,-0.013685067363218839,-1.5996561502216287,0.018157069346991843,84.09966715870281,-0.018157069346991843,-84.09966715870281,-0.053533119999974454,-4.192153810452296
zdt1,2,improved_nsga2_incremental_plus_de_fixed,0.8709286644143527,0.004330509199842581,1.4743252099999153,0.029113169277136364,3.458378878187661,0.029113169277136364,3.458378878187661,-0.03541650212959254,-89.10481806053284,0.03541650212959254,89.10481806053284,0.25087464999987774,20.505499625572938,0.015428101913917525,1.8034005575431376,0.015428101913917525,1.8034005575431376,-0.0172594327826007,-79.94200631310586,0.0172594327826007,79.94200631310586,0.1973415299999033,15.453723731214907
zdt1,3,improved_nsga2_incremental_plus_de_adaptive,0.8708899314237032,0.004359021358327662,3.3339917700000115,-3.873299064949265e-05,-0.004447320685619902,-3.873299064949265e-05,-0.004447320685619902,2.8512158485081464e-05,0.6584019839079874,-2.8512158485081464e-05,-0.6584019839079874,1.8596665600000961,126.13679447292384,0.015389368923268032,1.7988730338514773,0.015389368923268032,1.7988730338514773,-0.017230920624115617,-79.8099440847392,0.017230920624115617,79.8099440847392,2.057008089999999,161.08334994539473
zdt1,4,improved_nsga2_incremental_plus_periodic_obl,0.8553102711851871,0.023938504506595244,5.955960520000008,-0.015579660238516091,-1.7889356250849011,-0.015579660238516091,-1.7889356250849011,0.01957948314826758,449.1715350479321,-0.01957948314826758,-449.1715350479321,2.621968749999996,78.64352796527712,-0.00019029131524805898,-0.022243271786038386,-0.00019029131524805898,-0.022243271786038386,0.0023485625241519634,10.878039996873499,-0.0023485625241519634,-10.878039996873499,4.678976839999995,366.40850727238353
zdt1,5,improved_nsga2_incremental_plus_restart,0.8518488136344586,0.024261435444892124,5.7890912799999565,-0.003461457550728464,-0.40470197393186785,-0.003461457550728464,-0.40470197393186785,0.0003229309382968802,1.3490021409144846,-0.0003229309382968802,-1.3490021409144846,-0.1668692400000511,-2.8017183700212116,-0.003651748865976523,-0.4268552267579211,-0.003651748865976523,-0.4268552267579211,0.0026714934624488436,12.37378713023534,-0.0026714934624488436,-12.37378713023534,4.512107599999944,353.34105444479144
zdt2,0,improved_nsga2_incremental_baseline,0.3475374158147744,0.17806590986731197,1.2283381899999768,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
zdt2,1,improved_nsga2_incremental_plus_obl_init,0.48667381378645524,0.03596953541824203,1.264788790000057,0.13913639797168087,40.034940596392026,0.13913639797168087,40.034940596392026,-0.14209637444906995,-79.7998755376337,0.14209637444906995,79.7998755376337,0.03645060000008016,2.9674726632150747,0.13913639797168087,40.034940596392026,0.13913639797168087,40.034940596392026,-0.14209637444906995,-79.7998755376337,0.14209637444906995,79.7998755376337,0.03645060000008016,2.9674726632150747
zdt2,2,improved_nsga2_incremental_plus_de_fixed,0.5376556292997219,0.004688587978377576,1.6951303800000914,0.05098181551326664,10.475561673765469,0.05098181551326664,10.475561673765469,-0.031280947439864454,-86.96511388356785,0.031280947439864454,86.96511388356785,0.43034159000003447,34.024778951433866,0.1901182134849475,54.704387163387906,0.1901182134849475,54.704387163387906,-0.1733773218889344,-97.36693678095301,0.1733773218889344,97.36693678095301,0.4667921900001146,38.0019276287521
zdt2,3,improved_nsga2_incremental_plus_de_adaptive,0.5376026623342431,0.004883719585862538,1.5355397100000574,-5.2966965478740136e-05,-0.00985146673675263,-5.2966965478740136e-05,-0.00985146673675263,0.00019513160748496194,4.161841654349945,-0.00019513160748496194,-4.161841654349945,-0.15959067000003402,-9.414654582500338,0.19006524651946877,54.68914651214621,0.19006524651946877,54.68914651214621,-0.17318219028144943,-97.25735285911735,0.17318219028144943,97.25735285911735,0.3072015200000806,25.009522825312988
zdt2,4,improved_nsga2_incremental_plus_periodic_obl,0.36815366449253323,0.16289407909202808,1.2904617299999699,-0.16944899784170991,-31.519374756436488,-0.16944899784170991,-31.519374756436488,0.15801035950616554,3235.4511091008626,-0.15801035950616554,-3235.4511091008626,-0.24507798000008751,-15.960380471051339,0.020616248677758853,5.9320947154497485,0.020616248677758853,5.9320947154497485,-0.01517183077528389,-8.520345520705995,0.01517183077528389,8.520345520705995,0.062123539999993094,5.0575273573472685
zdt2,5,improved_nsga2_incremental_plus_restart,0.3299739626567632,0.20370879804462816,1.2374287800000274,-0.03817970183577002,-10.37058856616226,-0.03817970183577002,-10.37058856616226,0.04081471895260008,25.055986798354738,-0.04081471895260008,-25.055986798354738,-0.05303294999994246,-4.109610441523414,-0.017563453158011166,-5.0536869870068575,-0.017563453158011166,-5.0536869870068575,0.025642888177316192,14.40078462880644,-0.025642888177316192,-14.40078462880644,0.009090590000050636,0.740072243463407
zdt3,0,improved_nsga2_incremental_baseline,1.0706267390282993,0.042028638358782476,1.2232369900000322,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
zdt3,1,improved_nsga2_incremental_plus_obl_init,1.0610841331675906,0.05223927097578933,1.186465589999989,-0.009542605860708653,-0.8913102496738986,-0.009542605860708653,-0.8913102496738986,0.010210632617006853,24.294464478821727,-0.010210632617006853,-24.294464478821727,-0.0367714000000432,-3.00607325486799,-0.009542605860708653,-0.8913102496738986,-0.009542605860708653,-0.8913102496738986,0.010210632617006853,24.294464478821727,-0.010210632617006853,-24.294464478821727,-0.0367714000000432,-3.00607325486799
