problem,full_model,ablation_algorithm,hv_mean_full,hv_mean_ablation,delta_hv_abs,delta_hv_pct,hv_improvement_abs,hv_improvement_pct,igd_mean_full,igd_mean_ablation,delta_igd_abs,delta_igd_pct,igd_improvement_abs,igd_improvement_pct,runtime_mean_full,runtime_mean_ablation,delta_runtime_abs,delta_runtime_pct
zdt1,improved_nsga2_incremental_baseline,improved_nsga2_incremental_baseline,0.8555005625004352,0.8555005625004352,0.0,0.0,0.0,0.0,0.02158994198244328,0.02158994198244328,0.0,0.0,-0.0,-0.0,1.276983680000012,1.276983680000012,0.0,0.0
zdt1,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_adaptive,0.8555005625004352,0.8708899314237032,0.015389368923268032,1.7988730338514773,0.015389368923268032,1.7988730338514773,0.02158994198244328,0.004359021358327662,-0.017230920624115617,-79.8099440847392,0.017230920624115617,79.8099440847392,1.276983680000012,3.3339917700000115,2.057008089999999,161.08334994539473
zdt1,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_fixed,0.8555005625004352,0.8709286644143527,0.015428101913917525,1.8034005575431376,0.015428101913917525,1.8034005575431376,0.02158994198244328,0.004330509199842581,-0.0172594327826007,-79.94200631310586,0.0172594327826007,79.94200631310586,1.276983680000012,1.4743252099999153,0.1973415299999033,15.453723731214907
zdt1,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_obl_init,0.8555005625004352,0.8418154951372163,-0.013685067363218839,-1.5996561502216287,-0.013685067363218839,-1.5996561502216287,0.02158994198244328,0.039747011329435124,0.018157069346991843,84.09966715870281,-0.018157069346991843,-84.09966715870281,1.276983680000012,1.2234505600000376,-0.053533119999974454,-4.192153810452296
zdt1,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_periodic_obl,0.8555005625004352,0.8553102711851871,-0.00019029131524805898,-0.022243271786038386,-0.00019029131524805898,-0.022243271786038386,0.02158994198244328,0.023938504506595244,0.0023485625241519634,10.878039996873499,-0.0023485625241519634,-10.878039996873499,1.276983680000012,5.955960520000008,4.678976839999995,366.40850727238353
zdt1,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_restart,0.8555005625004352,0.8518488136344586,-0.003651748865976523,-0.4268552267579211,-0.003651748865976523,-0.4268552267579211,0.02158994198244328,0.024261435444892124,0.0026714934624488436,12.37378713023534,-0.0026714934624488436,-12.37378713023534,1.276983680000012,5.7890912799999565,4.512107599999944,353.34105444479144
zdt2,improved_nsga2_incremental_baseline,improved_nsga2_incremental_baseline,0.3475374158147744,0.3475374158147744,0.0,0.0,0.0,0.0,0.17806590986731197,0.17806590986731197,0.0,0.0,-0.0,-0.0,1.2283381899999768,1.2283381899999768,0.0,0.0
zdt2,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_adaptive,0.3475374158147744,0.5376026623342431,0.19006524651946877,54.68914651214621,0.19006524651946877,54.68914651214621,0.17806590986731197,0.004883719585862538,-0.17318219028144943,-97.25735285911735,0.17318219028144943,97.25735285911735,1.2283381899999768,1.5355397100000574,0.3072015200000806,25.009522825312988
zdt2,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_fixed,0.3475374158147744,0.5376556292997219,0.1901182134849475,54.704387163387906,0.1901182134849475,54.704387163387906,0.17806590986731197,0.004688587978377576,-0.1733773218889344,-97.36693678095301,0.1733773218889344,97.36693678095301,1.2283381899999768,1.6951303800000914,0.4667921900001146,38.0019276287521
zdt2,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_obl_init,0.3475374158147744,0.48667381378645524,0.13913639797168087,40.034940596392026,0.13913639797168087,40.034940596392026,0.17806590986731197,0.03596953541824203,-0.14209637444906995,-79.7998755376337,0.14209637444906995,79.7998755376337,1.2283381899999768,1.264788790000057,0.03645060000008016,2.9674726632150747
zdt2,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_periodic_obl,0.3475374158147744,0.36815366449253323,0.020616248677758853,5.9320947154497485,0.020616248677758853,5.9320947154497485,0.17806590986731197,0.16289407909202808,-0.01517183077528389,-8.520345520705995,0.01517183077528389,8.520345520705995,1.2283381899999768,1.2904617299999699,0.062123539999993094,5.0575273573472685
zdt2,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_restart,0.3475374158147744,0.3299739626567632,-0.017563453158011166,-5.0536869870068575,-0.017563453158011166,-5.0536869870068575,0.17806590986731197,0.20370879804462816,0.025642888177316192,14.40078462880644,-0.025642888177316192,-14.40078462880644,1.2283381899999768,1.2374287800000274,0.009090590000050636,0.740072243463407
zdt3,improved_nsga2_incremental_baseline,improved_nsga2_incremental_baseline,1.0706267390282993,1.0706267390282993,0.0,0.0,0.0,0.0,0.042028638358782476,0.042028638358782476,0.0,0.0,-0.0,-0.0,1.2232369900000322,1.2232369900000322,0.0,0.0
zdt3,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_adaptive,1.0706267390282993,1.0958922593911262,0.02526552036282692,2.359881314542723,0.02526552036282692,2.359881314542723,0.042028638358782476,0.005283258469326739,-0.03674537988945574,-87.42938463952704,0.03674537988945574,87.42938463952704,1.2232369900000322,1.453317770000058,0.23008078000002574,18.809174500193922
zdt3,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_fixed,1.0706267390282993,1.0959554983434034,0.025328759315104143,2.365788037210104,0.025328759315104143,2.365788037210104,0.042028638358782476,0.004847533064711353,-0.03718110529407112,-88.46611916538953,0.03718110529407112,88.46611916538953,1.2232369900000322,1.3910564700000123,0.16781947999998015,13.719294083804295
zdt3,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_obl_init,1.0706267390282993,1.0610841331675906,-0.009542605860708653,-0.8913102496738986,-0.009542605860708653,-0.8913102496738986,0.042028638358782476,0.05223927097578933,0.010210632617006853,24.294464478821727,-0.010210632617006853,-24.294464478821727,1.2232369900000322,1.186465589999989,-0.0367714000000432,-3.00607325486799
zdt3,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_periodic_obl,1.0706267390282993,1.0889444778600437,0.018317738831744368,1.7109360493246737,0.018317738831744368,1.7109360493246737,0.042028638358782476,0.01680732758755322,-0.025221310771229254,-60.009821293577325,0.025221310771229254,60.009821293577325,1.2232369900000322,1.2092831700000262,-0.013953820000006001,-1.1407290749117744
zdt3,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_restart,1.0706267390282993,1.0710870185311485,0.0004602795028492146,0.042991594182204364,0.0004602795028492146,0.042991594182204364,0.042028638358782476,0.04203632702894859,7.688670166115796e-06,0.018293883566915844,-7.688670166115796e-06,-0.018293883566915844,1.2232369900000322,1.2545664999999189,0.03132950999988671,2.5611970743204786
zdt4,improved_nsga2_incremental_baseline,improved_nsga2_incremental_baseline,0.0,0.0,0.0,nan,0.0,nan,6.4983503576820665,6.4983503576820665,0.0,0.0,-0.0,-0.0,1.506169349999982,1.506169349999982,0.0,0.0
zdt4,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_adaptive,0.0,0.47334346000007566,0.47334346000007566,nan,0.47334346000007566,nan,6.4983503576820665,0.27537942957850475,-6.222970928103562,-95.7623179049901,6.222970928103562,95.7623179049901,1.506169349999982,1.7476655999999366,0.24149624999995467,16.033804565200956
zdt4,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_fixed,0.0,0.24633775521332316,0.24633775521332316,nan,0.24633775521332316,nan,6.4983503576820665,0.7314130081401216,-5.766937349541945,-88.74463567087489,5.766937349541945,88.74463567087489,1.506169349999982,1.741677289999916,0.23550793999993402,15.636219127678892
zdt4,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_obl_init,0.0,0.0,0.0,nan,0.0,nan,6.4983503576820665,6.068877203228662,-0.4294731544534045,-6.608956593817692,0.4294731544534045,6.608956593817692,1.506169349999982,1.474501190000001,-0.03166815999998107,-2.1025630351581284
zdt4,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_periodic_obl,0.0,0.0069973761287971835,0.0069973761287971835,nan,0.0069973761287971835,nan,6.4983503576820665,2.4991199842501444,-3.999230373431922,-61.542240004098986,3.999230373431922,61.542240004098986,1.506169349999982,1.4671489600000314,-0.03902038999995061,-2.590704026738499
zdt4,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_restart,0.0,0.0,0.0,nan,0.0,nan,6.4983503576820665,6.4983503576820665,0.0,0.0,-0.0,-0.0,1.506169349999982,1.4968905700000505,-0.00927877999993143,-0.6160515748067468
zdt6,improved_nsga2_incremental_baseline,improved_nsga2_incremental_baseline,0.4017955653323787,0.4017955653323787,0.0,0.0,0.0,0.0,0.004470066745678468,0.004470066745678468,0.0,0.0,-0.0,-0.0,1.3110295800000131,1.3110295800000131,0.0,0.0
zdt6,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_adaptive,0.4017955653323787,0.4030802061859172,0.0012846408535385212,0.31972499558969086,0.0012846408535385212,0.31972499558969086,0.004470066745678468,0.0038758932791280046,-0.0005941734665504631,-13.292272808339897,0.0005941734665504631,13.292272808339897,1.3110295800000131,5.689809979999973,4.37878039999996,333.9955456992752
zdt6,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_de_fixed,0.4017955653323787,0.4031587106823934,0.001363145350014694,0.3392634134443606,0.001363145350014694,0.3392634134443606,0.004470066745678468,0.0038605132575933827,-0.000609553488085085,-13.636339740886058,0.000609553488085085,13.636339740886058,1.3110295800000131,6.501408180000044,5.190378600000031,395.9009528984067
zdt6,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_obl_init,0.4017955653323787,0.4022450663780117,0.0004495010456330162,0.1118730728800289,0.0004495010456330162,0.1118730728800289,0.004470066745678468,0.0043006465120905436,-0.00016942023358792416,-3.790105231688426,0.00016942023358792416,3.790105231688426,1.3110295800000131,4.595126680000158,3.284097100000145,250.49755933043954
zdt6,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_periodic_obl,0.4017955653323787,0.4018068279224661,1.1262590087379731e-05,0.002803064806865885,1.1262590087379731e-05,0.002803064806865885,0.004470066745678468,0.004377263421204128,-9.280332447433957e-05,-2.0761060126016946,9.280332447433957e-05,2.0761060126016946,1.3110295800000131,5.576223679999975,4.265194099999962,325.33164507241094
zdt6,improved_nsga2_incremental_baseline,improved_nsga2_incremental_plus_restart,0.4017955653323787,0.4017955653323787,0.0,0.0,0.0,0.0,0.004470066745678468,0.004470066745678468,0.0,0.0,-0.0,-0.0,1.3110295800000131,4.948770969999941,3.6377413899999285,277.47210631204
